QTD_ITENS;50
QTD_MOCHILAS;3
CAPACIDADES;425;475;429
ITEM;PESO;VALOR
0;40;441
1;48;397
2;31;326
3;42;437
4;52;600
5;26;307
6;52;442
7;62;712
8;34;327
9;34;388
10;28;234
11;77;881
12;58;524
13;61;497
14;42;459
15;34;379
16;39;321
17;20;160
18;61;520
19;77;759
20;27;293
21;22;253
22;33;277
23;77;760
24;77;757
25;61;703
26;80;939
27;40;437
28;41;363
29;27;283
30;49;534
31;47;376
32;71;744
33;58;495
34;45;495
35;29;249
36;46;542
37;37;334
38;23;206
39;78;847
40;40;426
41;65;605
42;64;572
43;51;548
44;68;562
45;64;600
46;80;896
47;66;781
48;74;638
49;80;666
CONFLITOS
ITEM;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;1;1;1;1;0;1;0
1;0;1;1;0;1;1;0;1;1;0;1;0;0;0;1;0;0;1;0;1;0;1;0;1;1;1;1;1;0;0;1;0;1;1;1;1;0;1;1;0;1;1;0;0;1;0;0;1;0;1
2;0;1;1;1;0;1;1;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1
3;0;0;1;1;0;0;0;1;1;0;1;1;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0
4;1;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;1;1;1;1;1;0;1;0;1;1;1;0;0;0;0
5;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;0;1;1;1;1;0;0;0;1;0;1;0;0;1;1;0
6;1;0;1;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;1;0;0;1;1;0;1;1;1;1;1;0;0;0;1;1;1;0;0;0;1;1;0;0
7;0;1;0;1;1;1;0;1;1;0;0;1;1;1;0;0;1;0;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1
8;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;1;0;1;0;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;1;1;1;1;1;0
9;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1;1;1;0;1
10;0;1;0;1;0;1;0;0;1;1;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;0;0;1;1;1;0;0;1;1;0;1;0;0
11;0;0;0;1;0;0;1;1;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1;0;0;1;1;0;1;1;0;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0
12;0;0;0;1;1;1;1;1;1;1;0;0;1;0;1;1;0;1;1;1;0;1;0;0;1;1;1;1;1;0;0;1;0;1;1;1;0;1;0;1;0;0;1;1;1;1;1;0;1;0
13;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;1;1;1;0;1;1;0;0;1;1;1;0
14;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;0
15;1;0;0;1;1;1;0;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;1;1;0;1;1;0;0;1;1;0;1;1;1;0
16;0;0;0;0;1;0;1;1;1;0;0;1;0;1;0;0;1;0;1;0;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;1;1;0;0;1;1;1;0;1;1
17;1;1;0;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;1;0;0;0;0;1;0;1;1;0;1;1;1;0;1;0;1;1;0;0;1;1;0;1;0;0;0;1;1;0;1
18;1;0;1;0;0;1;1;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;1;1;0;0;1;0
19;1;1;0;0;1;1;1;0;0;0;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;1;0;0
20;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;1
21;0;1;0;1;1;1;0;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;0;0;1;1;1;0;0;1;0;0;1;1;1
22;1;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;1;0;1;1;1;1;1;1;0;1;0;0;0;0;1;0;1;1;1;0;1;0;0;1;1;1;0;1;1;1;0;1;0;0
23;0;1;1;1;0;1;1;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;0;1;0;0;1;1;1;1;1;0
24;0;1;1;0;0;1;1;0;0;0;1;1;1;0;1;0;0;1;0;1;1;1;0;1;1;0;1;0;0;1;0;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;0;1;0;0
25;0;1;1;0;1;0;0;0;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;1;1;1;0;1;1;0;1;0;0;1;1;0;1;1;0;1;0;1;0;1;1;1;0;1
26;0;1;0;1;1;1;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;0;1;1;1;0;0;0;0;1;1;1;0
27;0;1;1;0;1;1;0;1;1;0;1;0;1;0;1;1;1;1;1;0;1;0;0;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0;0
28;0;0;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;1
29;0;0;1;0;0;1;1;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;0;1;1;1;1
30;1;1;1;1;0;1;1;1;0;1;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0
31;1;0;1;1;0;1;0;1;0;1;0;1;1;0;1;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;0;0;1;1;0;0;1;0;1;1;1;0;0;0;1;0;1;1
32;1;1;1;1;1;0;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1
