QTD_ITENS;100
QTD_MOCHILAS;3
CAPACIDADES;1145;945;997
ITEM;PESO;VALOR
0;63;506
1;38;376
2;52;468
3;40;453
4;57;562
5;80;705
6;58;679
7;50;514
8;68;769
9;71;692
10;59;495
11;47;459
12;56;471
13;59;542
14;80;691
15;75;600
16;77;658
17;57;654
18;31;362
19;50;583
20;35;385
21;49;448
22;59;591
23;39;382
24;63;568
25;68;560
26;71;778
27;34;283
28;29;342
29;28;248
30;25;283
31;64;707
32;56;631
33;69;770
34;26;270
35;58;483
36;70;614
37;62;575
38;54;522
39;23;258
40;70;818
41;70;583
42;47;536
43;78;911
44;78;714
45;52;577
46;27;225
47;58;516
48;22;198
49;20;190
50;63;644
51;32;367
52;73;599
53;43;350
54;74;875
55;43;452
56;53;623
57;28;285
58;32;278
59;42;430
60;22;192
61;77;829
62;52;504
63;41;465
64;25;233
65;53;554
66;59;620
67;21;192
68;23;209
69;63;596
70;46;548
71;30;243
72;49;575
73;32;307
74;36;360
75;50;437
76;80;788
77;76;770
78;60;676
79;79;842
80;63;528
81;80;674
82;49;480
83;41;390
84;69;674
85;65;768
86;51;481
87;52;478
88;61;661
89;43;401
90;27;260
91;34;280
92;64;755
93;56;665
94;26;239
95;36;398
96;69;718
97;79;709
98;64;522
99;47;539
CONFLITOS
ITEM;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;1;1;1;1;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;1;1;1;0;1;0;0;1;1;0;0;0;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;0;0;1
1;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;0;1;0;1;0;1;1;0;0;0;1;1;1;0;1;1;1;1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;0;1;1;1;0;1;1;1;1;0;0;1;0;1;1;0;1;1;0;1;1;0;1;1;1;1;1;1;0
2;0;0;1;0;1;0;0;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;1;1;1;1;1;0;0;1
3;0;0;0;1;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;1;0;1;1;0;1;0;1;0;1;0;0
4;0;0;1;0;1;1;1;0;1;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;0;1;0;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;1;0;0;1;1;0;1;0;1;0;0
5;0;0;0;0;1;1;0;1;1;1;0;1;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;0;1;0;1;0;1;1;1;0;1;0;1;1;1;0;0;0;0;0;1;1;0;1;1;1;0;1;0;1;0;1;0;1;1;0;1;0;0;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;0;1;1
6;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;0;0;1;1;1;0;1;1;1;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;0;1;0;1;1;0;0;1;0;0;1;1;1;1;1;1;1;0
7;1;1;1;1;0;1;1;1;0;0;1;0;1;0;1;1;1;0;1;0;0;1;0;1;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;1;0;0;1;1;1;0;1;1;1;1;0;1;1;0;0;1;0;0;1;1;1;1;0;1;0;0;1;1;0
8;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;0;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;1;1;1;0;1;1;0;1;0;1;1;0;1;0;1;1;0;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1
9;1;0;0;0;0;1;1;0;1;1;0;1;1;0;0;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;1;1;1;0;0;1;1;1;0;1;0;0;1;0;1;0;0;0;1;1;0;1;1;1;0;0;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;1;1;1;1;0;1;1;0
10;1;1;1;0;1;0;1;1;1;0;1;0;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;0;0;0;1;0;0;0;1;1;0;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;1;1;1;0;1;1;1;1;1;0;0;1;1;0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;1;1
11;1;0;1;1;1;1;1;0;1;1;0;1;1;0;1;0;1;1;0;1;1;0;0;1;1;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;1;0;1;1;0;1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;0
