QTD_ITENS;100
QTD_MOCHILAS;5
CAPACIDADES;591;550;467;644;515
ITEM;PESO;VALOR
0;24;261
1;30;283
2;21;227
3;47;429
4;54;545
5;75;791
6;80;912
7;44;504
8;54;646
9;32;285
10;24;221
11;25;214
12;23;235
13;33;334
14;25;239
15;55;586
16;30;291
17;21;232
18;20;182
19;28;238
20;35;349
21;22;239
22;37;399
23;29;294
24;20;235
25;38;393
26;55;519
27;56;499
28;72;771
29;71;598
30;67;599
31;20;174
32;59;624
33;80;839
34;20;193
35;55;511
36;21;200
37;37;370
38;70;712
39;72;686
40;20;168
41;45;478
42;58;610
43;47;421
44;76;692
45;76;709
46;50;438
47;37;306
48;67;688
49;58;586
50;47;474
51;76;769
52;66;672
53;22;182
54;69;636
55;21;177
56;42;465
57;44;456
58;75;703
59;46;439
60;35;296
61;40;426
62;62;738
63;56;644
64;76;741
65;61;604
66;63;549
67;48;520
68;76;738
69;23;253
70;65;542
71;52;473
72;29;344
73;32;280
74;36;294
75;69;567
76;55;524
77;78;821
78;39;386
79;48;505
80;36;330
81;25;239
82;45;363
83;65;761
84;35;326
85;44;461
86;48;424
87;48;491
88;47;400
89;50;418
90;71;824
91;70;787
92;47;408
93;25;292
94;20;214
95;79;916
96;44;499
97;57;571
98;49;392
99;49;495
CONFLITOS
ITEM;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
0;1;1;0;0;1;1;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;1;0;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;1;1
1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;0;1;1;1;1;1;0;0;1;1;0;1;1;0;1;0;1;1;0;0;0;0;1;1;1;1;0;1;0;1;0;1;1;0;0;1;1;0
2;0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1
3;0;1;0;1;1;0;1;0;0;1;0;1;0;0;1;1;1;0;1;0;0;1;0;1;1;0;1;1;1;0;1;1;0;1;0;0;1;1;0;1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;0;0;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;0;1;0;0;0;1;0;1
4;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;1;1;0;1;0;0;0;0;1;1;0;0;1;1;1;0;0;1;0;0;0;1;1;1;1;1;1;1;1
5;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;0;0;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;1;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1
6;1;1;0;1;0;1;1;1;1;1;0;1;0;0;1;1;0;0;0;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;0;0;1;1;0;0;0;1;1;0;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0
7;0;0;1;0;1;1;1;1;0;1;1;1;1;0;0;1;0;0;0;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;1;0;0;0;1;0;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;1;1;1;0
8;0;0;1;0;0;1;1;0;1;1;1;1;1;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;1;1;1;1;0;0;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1
9;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;1;0;1;1
10;1;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;1;0;1;1;1;0;1;1;1;1;1;1;0;1;0;0;1;1;1;0;1;1;1;0;1;1;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;0;1;0;1;0;0;0;1;1;1;0;1;1;0;1;0;0;1;1
11;0;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;0;0;0;0;1;0;1;1;0;1;1;1;0;1;0;1;1;1;1;0;0;0;0;0;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;0;1;0;0;0;1;0;1;1;0;0;1;1;1;0;0;1;1;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;1;1;1;0
12;0;1;0;0;1;1;0;1;1;1;1;0;1;1;1;0;0;1;0;1;1;1;1;1;1;0;1;0;1;0;1;0;1;1;0;1;0;0;0;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;0;1;1;1
13;1;0;1;0;1;0;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;1;1;1;0;1;1;0;0;1;1;1;1;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;0;1;1;1;0;0;1;0;0;1
14;0;1;0;1;1;1;1;0;1;0;0;1;1;0;1;0;1;1;0;1;1;0;0;1;1;1;1;0;1;1;0;0;1;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;0;1;1;1;0;1;1;1;1;1;1;0;1
15;0;1;0;1;1;0;1;1;0;0;0;1;0;1;0;1;1;0;1;1;1;0;1;1;1;1;0;1;1;0;1;0;0;0;1;0;1;0;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;0;1;0;1;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;1;0;0
16;1;0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;1;1;1;0;0;0;1;0;1;1;1;0;0;1;1;1;0;0;0;0;0;1;1;1;1;1;0;0;1;0;1;0;1;1;0;1;0;0;0;1;1;1;1;1;0;1;0;0;1;0;1;0;1;0;1;1;0;1;0;0;0;1;1;1;0;1;1;0;1;0;1;1;0;0;0;1;0;1;0;0;1;1;0;0
17;0;1;0;0;1;1;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0;1;1;1;1;0;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;0;1;0;1;1;1;0;1;0;0;1;1;0;0;1;0;1;1;1;1;1;1;0;1
18;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;1;0;1;1;1;0;1;1;1;1;0;0;1;1;1;0;0;1;0;1;0;1;1;1;0;1;0;1;1;1;0;1;1;0;0;0;1;0;1;1;1;1;1;1;0;0;1;1;0;0;0;1;0;1;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;1;1;1;0;1;0
