QTD_ITENS;200
QTD_MOCHILAS;4
CAPACIDADES;1799;1672;1593;1655
ITEM;PESO;VALOR
0;79;940
1;50;595
2;63;516
3;71;772
4;36;377
5;25;205
6;80;814
7;42;373
8;74;791
9;29;320
10;75;647
11;51;586
12;21;238
13;47;421
14;67;618
15;70;727
16;55;452
17;35;358
18;37;326
19;20;215
20;40;391
21;70;591
22;47;516
23;67;625
24;68;653
25;72;807
26;58;501
27;20;182
28;79;886
29;76;669
30;58;653
31;73;791
32;21;174
33;40;428
34;23;255
35;73;654
36;56;646
37;50;472
38;49;473
39;47;381
40;56;618
41;76;744
42;33;291
43;36;340
44;73;822
45;54;509
46;53;548
47;56;586
48;64;565
49;74;765
50;80;756
51;53;457
52;76;888
53;64;585
54;26;277
55;30;301
56;74;884
57;71;697
58;64;626
59;59;573
60;56;481
61;69;734
62;57;622
63;52;419
64;62;703
65;44;477
66;40;437
67;43;487
68;21;196
69;21;211
70;53;447
71;60;556
72;23;189
73;40;381
74;27;303
75;65;572
76;66;735
77;39;445
78;28;275
79;40;400
80;70;787
81;67;752
82;49;523
83;34;404
84;65;599
85;39;466
86;32;352
87;69;591
88;69;718
89;38;444
90;48;559
91;62;663
92;74;675
93;70;716
94;79;803
95;36;412
96;78;734
97;28;271
98;40;430
99;26;250
100;49;431
101;65;750
102;76;811
103;29;282
104;74;676
105;67;786
106;76;838
107;69;630
108;60;607
109;22;204
110;38;370
111;76;743
112;28;264
113;42;483
114;34;390
115;34;400
116;26;291
117;61;623
118;49;525
119;28;319
120;55;519
121;23;200
122;48;478
123;20;215
124;55;456
125;77;858
126;35;361
127;62;593
128;31;325
129;65;558
130;77;837
131;67;692
132;73;588
133;34;352
134;23;231
135;72;695
136;24;268
137;24;221
138;35;292
139;52;503
140;55;562
141;61;726
142;47;402
143;44;482
144;58;482
145;68;665
146;28;335
147;58;508
148;30;276
149;24;250
150;30;359
151;73;851
152;20;183
153;27;269
154;22;212
155;49;462
156;40;393
157;32;271
158;77;658
159;39;411
160;66;582
161;26;279
162;39;345
163;61;501
164;47;490
165;47;435
166;66;576
167;28;257
168;54;644
169;34;345
170;69;672
171;28;236
172;78;718
173;56;588
174;63;665
175;58;643
176;50;537
177;62;522
178;20;207
179;33;334
180;67;790
181;50;488
182;80;695
183;57;471
184;64;627
185;31;253
186;80;718
187;34;300
188;54;555
189;65;608
190;44;373
191;76;664
192;61;613
193;20;227
194;33;281
195;70;821
196;70;774
197;59;605
198;80;873
199;55;553
CONFLITOS
ITEM;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199
0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;1;0;1;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;1;0;1;1;1;1;1;1;0;1;0;0;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;1;1;1;0;1;0;0;1;1;1;0;1;1;0;1;1;1;1;0;1;0;1;0;0;0;1;1;0;0;1;1;1;0;1;0;0;0;1;1;1;0;1;0;1;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1
1;0;1;1;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;1;1;0;0;1;1;0;0;1;1;1;1;0;0;1;0;0;1;0;1;1;1;0;1;1;0;1;0;0;0;1;0;1;1;0;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;0;1;1;1;1;0;1;1;0;0;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1;1;0;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;0;0;1;1;0;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;1;1;0;1;1;1;1;1;0;0;1;0;1;1;0;1;0;1;1;1;1;1;1;1;0;1;0;0
2;0;1;1;0;0;1;1;0;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;1;1;0;1;1;1;1;0;1;0;0;0;1;1;1;0;0;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;1;1;0;0;1;0;0;1;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1;0;0
3;1;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;1;1;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;1;1;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;1;1;1;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1;1;1;1;1;1;1;0;0;1;0;1;1;0;1;1;0;1;0;0;1;1;0;1;1;0;0;1;0;0;1;1;0;0;1;1;1;0;1;1;0;1;1;0;1;0
4;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;0;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;1;0;1;0;0;1;0;0;1;0;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;0;1;1;0;0;0;1;0;1;0;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;0;1;1;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;0;1;0;1;1;0;0;1;0;0;1;0;1;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
5;0;1;1;0;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;1;0;1;1;1;1;1;0;0;0;0;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;0;1;1;1;0;0;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;0;0;1;0;1;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;0;1;1;1;1;1;0;0;0;1
6;0;0;1;1;0;1;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;0;1;1;1;1;1;0;1;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0;1;1;1;0;0;0;1;1;0;1;0;0;1;1;1;1;1;0;1;0;0;0;1;0;0;0;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;1;0;0;1;1;1;0;1;1;0;1;0;1;1;0;1;0;1;1;0;0;1;0;1;1;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;1;0;1;1;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;1;0;1;0;1;1;1;0;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1
7;1;1;0;1;0;1;0;1;0;1;0;0;1;1;1;1;0;0;1;1;1;0;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;0;1;1;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;1;1;0;1;0;0;1;0;1;1;1;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;1;1;1;0;1;0;1;1
8;1;0;1;1;0;0;1;0;1;1;1;1;1;1;0;1;1;0;1;0;1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;1;1;0;1;1;0;0;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0;0;1;0;0;1;0;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;1;1;1;0;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0
9;0;0;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;1;1;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;0;1;0;1;0;1;1;0;1;0;1;1;0;1;0;1;1;0;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;1;1;1;1;1;0;1;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;1;1;1;1;0;1;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;0;0;0;1;0;1;1;0;1;0;1;1;1;1;1;0;0;1
10;0;0;1;1;1;0;1;0;1;0;1;1;0;1;0;1;1;0;0;1;1;0;0;0;1;1;1;1;0;1;0;1;1;1;0;0;0;0;1;0;1;1;0;1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;0;1;1;0;1;1;1;0;0;0;0;1;1;0;1;1;1;0;1;1;0;0;0;1;0;0;0;1;0;1;1;1;0;1;0;1;1;1;0;1;0;1;0;1;1;0;1;1;1;0;1;0;0;0;1;1;0;1;1;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;1;0;0;0;1;1;1;0;0;1;0;0;1;1;1;0;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;0;0;1;0;0;0;0;1;0;0
11;1;1;0;1;1;0;1;0;1;0;1;1;1;1;1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;0;0;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;1;0;1;1;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;1;1;1;1;0;1;1;0;0;1;1;0;1;0;1;1;0;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;0;1;1;1;0;1;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;1
12;0;0;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;1;1;0;0;0;0;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;0;0;1;0;1;0;1;1;0;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;1;0;1;0;0;0;0;1;0;0;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;0;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;0;1;0;0;1;1;0;1
