QTD_ITENS;400
QTD_MOCHILAS;6
CAPACIDADES;2207;1834;1761;2028;2258;2189
ITEM;PESO;VALOR
0;43;389
1;26;230
2;73;689
3;52;511
4;39;314
5;35;311
6;42;487
7;55;652
8;29;323
9;61;675
10;78;726
11;57;624
12;69;737
13;40;448
14;71;711
15;53;448
16;23;251
17;75;736
18;38;336
19;25;234
20;32;307
21;41;406
22;44;517
23;67;715
24;25;270
25;59;502
26;75;773
27;24;255
28;55;612
29;52;584
30;44;520
31;60;670
32;57;498
33;23;218
34;72;594
35;50;568
36;62;618
37;49;576
38;29;301
39;37;438
40;54;503
41;48;390
42;25;231
43;38;417
44;52;536
45;61;681
46;46;390
47;37;401
48;39;324
49;38;353
50;25;275
51;26;236
52;67;623
53;65;727
54;50;400
55;70;595
56;59;580
57;45;417
58;47;492
59;35;357
60;62;723
61;46;487
62;80;709
63;65;526
64;49;421
65;28;333
66;33;358
67;56;493
68;30;277
69;56;638
70;52;562
71;35;349
72;34;361
73;66;715
74;30;303
75;77;710
76;30;354
77;66;731
78;60;570
79;22;185
80;64;584
81;75;695
82;71;799
83;40;339
84;29;324
85;22;209
86;48;543
87;36;320
88;59;579
89;34;397
90;43;455
91;32;321
92;29;324
93;52;537
94;80;748
95;51;581
96;25;229
97;71;710
98;36;317
99;31;253
100;67;688
101;75;739
102;70;717
103;53;473
104;80;925
105;23;228
106;55;486
107;63;604
108;41;342
109;25;293
110;48;523
111;48;501
112;47;406
113;76;900
114;62;555
115;51;610
116;59;662
117;73;803
118;69;704
119;35;289
120;34;402
121;21;197
122;50;533
123;74;841
124;67;773
125;76;634
126;27;243
127;61;665
128;51;600
129;78;782
130;50;538
131;20;181
132;33;358
133;36;429
134;77;769
135;63;747
136;78;784
137;60;491
138;38;381
139;36;317
140;68;627
141;27;309
142;59;607
143;26;236
144;56;518
145;38;334
146;38;379
147;72;750
148;75;672
149;68;643
150;50;410
151;36;373
152;40;400
153;31;341
154;49;456
155;23;244
156;43;463
157;39;442
158;53;458
159;20;200
160;47;462
161;61;666
162;63;643
163;65;762
164;78;716
165;57;591
166;23;208
167;77;895
168;29;251
169;73;838
170;62;528
171;25;218
172;54;446
173;47;482
174;54;634
175;42;457
176;57;589
177;52;468
178;71;652
179;27;261
180;26;270
181;76;676
182;54;623
183;43;444
184;69;787
185;37;332
186;28;237
187;62;599
188;71;807
189;25;240
190;60;621
191;31;258
192;63;617
193;66;702
194;78;673
195;49;547
196;53;488
197;74;883
198;39;438
199;75;788
200;59;639
201;61;633
202;70;791
203;56;512
204;48;431
205;69;578
206;69;811
207;25;271
208;44;373
209;76;654
210;57;624
211;75;828
212;24;218
213;59;674
214;36;383
215;56;459
216;22;230
217;37;427
218;29;330
219;30;260
220;63;544
221;36;421
222;32;363
223;68;620
224;69;661
225;48;452
226;27;283
227;74;649
228;63;633
229;37;357
230;74;805
231;74;804
232;32;331
233;63;676
234;31;343
235;29;322
236;39;392
237;25;275
238;70;640
239;44;520
240;58;474
241;77;807
242;61;559
243;75;773
244;78;760
245;74;703
246;74;704
247;71;617
248;26;301
249;23;203
250;70;775
251;72;697
252;73;762
253;26;248
254;46;412
255;20;201
256;30;279
257;35;293
258;26;269
259;61;489
260;24;254
261;61;715
262;59;489
263;42;378
264;44;384
265;24;265
266;43;423
267;27;275
268;62;712
269;53;492
270;37;372
271;45;536
272;69;784
273;27;248
274;23;248
275;56;651
276;32;302
277;66;540
278;51;470
279;28;225
280;33;324
281;76;834
282;50;449
283;63;632
284;41;433
285;76;870
286;53;478
287;76;850
288;43;412
289;39;398
290;54;509
291;45;379
292;50;541
293;80;828
294;69;783
295;27;237
296;69;703
297;79;790
298;65;520
299;45;526
300;58;642
301;59;632
302;29;289
303;61;720
304;49;454
305;46;372
306;28;297
307;41;333
308;31;331
309;74;868
310;47;414
311;23;204
312;55;538
313;26;208
314;29;257
315;56;484
316;69;827
317;26;249
318;44;417
319;57;592
320;43;515
321;65;669
322;48;423
323;41;435
324;79;695
325;56;510
326;70;568
327;65;554
328;26;290
329;33;300
330;48;456
331;29;310
332;54;466
333;24;256
334;35;371
335;68;734
336;37;385
337;56;570
338;80;816
339;25;284
340;48;446
341;42;439
342;43;347
343;53;561
344;67;545
345;53;486
346;64;766
347;64;573
348;65;701
349;75;615
350;76;756
351;48;455
352;31;352
353;52;588
354;34;398
355;50;533
356;61;541
357;53;543
358;71;687
359;45;410
360;33;292
361;68;553
362;49;571
363;45;430
364;32;369
365;39;463
366;27;312
367;66;762
368;41;391
369;26;226
370;64;572
371;55;619
372;40;438
373;77;799
374;77;787
375;55;618
376;64;761
377;80;848
378;58;622
379;74;731
380;63;722
381;22;183
382;60;603
383;47;470
384;71;635
385;66;713
386;25;286
387;74;865
388;43;448
389;56;577
390;26;227
391;34;328
392;38;312
393;24;286
394;39;348
395;34;276
396;22;201
397;48;572
398;55;456
399;22;260
CONFLITOS
