QTD_ITENS;400
QTD_MOCHILAS;8
CAPACIDADES;1244;1644;1524;1410;1538;1747;1638;1314
ITEM;PESO;VALOR
0;57;589
1;31;311
2;78;792
3;28;302
4;26;306
5;67;550
6;30;359
7;62;512
8;44;442
9;21;179
10;26;249
11;69;775
12;60;712
13;58;666
14;34;351
15;70;712
16;33;342
17;35;357
18;42;388
19;62;664
20;63;589
21;66;702
22;21;191
23;77;870
24;60;665
25;41;433
26;25;216
27;54;562
28;80;749
29;22;185
30;25;227
31;21;207
32;38;431
33;43;486
34;48;527
35;65;521
36;26;213
37;47;439
38;36;342
39;27;320
40;64;720
41;70;733
42;66;653
43;34;288
44;46;423
45;59;524
46;51;499
47;28;263
48;44;513
49;43;472
50;26;228
51;33;276
52;71;714
53;36;412
54;56;491
55;77;770
56;39;342
57;23;226
58;72;602
59;73;749
60;53;523
61;45;516
62;60;577
63;47;540
64;66;720
65;64;694
66;72;845
67;59;582
68;48;527
69;31;328
70;65;730
71;28;249
72;34;364
73;71;801
74;50;589
75;77;878
76;55;459
77;80;844
78;53;548
79;31;308
80;78;901
81;24;216
82;68;753
83;61;653
84;78;845
85;42;415
86;73;786
87;48;433
88;47;413
89;26;260
90;60;693
91;39;426
92;66;741
93;61;630
94;57;649
95;55;443
96;64;580
97;41;396
98;56;505
99;25;288
100;42;396
101;44;450
102;35;333
103;48;505
104;39;448
105;78;724
106;74;760
107;42;378
108;52;546
109;68;751
110;56;536
111;45;423
112;25;274
113;39;397
114;25;277
115;37;392
116;59;495
117;70;757
118;57;654
119;47;509
120;41;391
121;72;693
122;26;252
123;46;523
124;51;608
125;77;761
126;56;460
127;70;560
128;34;399
129;62;505
130;76;674
131;57;546
132;40;356
133;56;480
134;25;204
135;68;599
136;23;203
137;62;722
138;60;596
139;20;227
140;42;344
141;30;289
142;37;342
143;46;447
144;46;481
145;52;497
146;80;692
147;66;705
148;46;470
149;69;700
150;66;561
151;28;280
152;71;735
153;34;355
154;64;695
155;43;422
156;67;575
157;60;524
158;48;455
159;76;827
160;55;647
161;44;359
162;54;528
163;68;634
164;56;646
165;58;595
166;78;665
167;58;583
168;53;492
169;74;670
170;41;392
171;50;415
172;64;634
173;63;613
174;36;431
175;57;593
176;58;505
177;55;621
178;34;316
179;23;266
180;75;689
181;27;311
182;46;428
183;64;566
184;49;473
185;30;284
186;57;594
187;79;676
188;27;270
189;38;354
190;57;563
191;53;605
192;62;622
193;78;902
194;75;727
195;20;214
196;74;813
197;30;357
198;41;407
199;43;392
200;29;314
201;35;331
202;69;641
203;39;326
204;56;644
205;26;223
206;44;500
207;58;532
208;56;479
209;68;737
210;45;435
211;57;478
212;32;376
213;42;400
214;48;522
215;71;702
216;75;788
217;56;522
218;73;621
219;46;530
220;21;205
221;66;753
222;72;755
223;21;178
224;24;269
225;27;270
226;56;650
227;45;476
228;51;545
229;79;789
230;61;562
231;45;373
232;64;560
233;27;306
234;73;783
235;73;649
236;42;502
237;60;671
238;76;726
239;52;475
240;55;655
241;27;309
242;55;444
243;27;285
244;34;402
245;65;631
246;66;778
247;62;691
248;51;462
249;66;634
250;51;509
251;48;525
252;59;512
253;34;366
254;56;519
255;50;577
256;64;528
257;46;438
258;53;592
259;65;644
260;63;519
261;51;535
262;55;504
263;55;631
264;71;665
265;71;825
266;33;364
267;64;579
268;22;240
269;74;878
270;59;634
271;68;634
272;52;509
273;53;533
274;31;273
275;29;240
276;33;332
277;72;643
278;41;457
279;23;207
280;33;273
281;36;375
282;58;504
283;64;515
284;50;455
285;77;809
286;26;218
287;79;778
288;66;603
289;58;685
290;31;258
291;32;376
292;45;475
293;20;214
294;34;284
295;55;495
296;78;814
297;59;619
298;76;910
299;54;506
300;53;575
301;71;577
302;40;456
303;44;509
304;47;420
305;38;452
306;46;387
307;52;455
308;74;701
309;21;170
310;78;644
311;51;425
312;65;577
313;61;676
314;44;353
315;52;503
316;51;446
317;47;400
318;79;852
319;57;651
320;66;547
321;73;725
322;69;635
323;49;542
324;57;500
325;73;588
326;31;314
327;46;370
328;44;396
329;37;314
330;33;284
331;69;586
332;24;254
333;55;597
334;61;657
335;54;631
336;75;780
337;32;282
338;30;341
339;26;252
340;69;755
341;30;335
342;63;656
343;57;583
344;33;271
345;72;649
346;39;413
347;34;383
348;30;322
349;25;290
350;45;479
351;44;462
352;26;265
353;43;390
354;60;670
355;47;457
356;75;861
357;38;414
358;52;500
359;60;556
360;23;236
361;36;361
362;77;790
363;48;384
364;66;643
365;24;213
366;21;212
367;76;682
368;35;341
369;64;533
370;54;461
371;36;423
372;26;294
373;80;827
374;30;334
375;46;392
376;77;662
377;54;526
378;54;615
379;40;455
380;45;372
381;61;658
382;35;404
383;28;331
384;63;738
385;21;213
386;32;269
387;72;809
388;38;354
389;66;789
390;34;307
391;46;525
392;73;633
393;37;356
394;36;404
395;24;202
396;54;598
397;42;461
398;46;535
399;67;744
CONFLITOS
ITEM;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;294;295;296;297;298;299;300;301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;320;321;322;323;324;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359;360;361;362;363;364;365;366;367;368;369;370;371;372;373;374;375;376;377;378;379;380;381;382;383;384;385;386;387;388;389;390;391;392;393;394;395;396;397;398;399
0;1;1;0;0;0;0;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;0;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0;1;1;1;0;1;0;0;0;1;0;1;1;1;0;1;1;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;1;0;1;0;1;0;0;0;1;1;1
1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;1;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;1;0;0;1;1;0;0;0;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;1;0;0;1;1;0;0;0;1;0;1;1;0;1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0
2;0;1;1;1;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;0;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;1;1;1;0;1;0;1;0;1;1;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;0;1;0;1;0;1;1;1;1;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;1;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;1;0;0;1;1;1;0;0;0;0;1;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0
3;0;0;1;1;1;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;1;0;1;0;1;0;0;0;1;1;1;1;0;0;0;1;1;1;0;0;0;1;1;0;1;0;0;1;1;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0;0;1;0;0;1;1;1;1;0;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;1;1;0;1
4;0;0;0;1;1;0;1;0;0;1;1;0;1;1;0;0;1;1;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;0;0;1;1;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;1;1;1;1;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;1;0;1;0;0;1;0;1;0;1;1;1;1;1;0;1;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;0;1;1;0;0;0;0;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;1;1;1;0;1;0;1;1;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1;0;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;1;0;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;1;1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0
