QTD_ITENS;500
QTD_MOCHILAS;7
CAPACIDADES;2308;2126;2354;1899;2438;2511;2063
ITEM;PESO;VALOR
0;21;169
1;55;539
2;23;272
3;23;260
4;71;733
5;35;288
6;37;322
7;61;599
8;74;753
9;21;186
10;27;226
11;43;346
12;44;443
13;45;478
14;45;538
15;76;822
16;68;745
17;77;775
18;47;463
19;58;547
20;37;439
21;45;479
22;74;681
23;20;202
24;51;462
25;55;654
26;23;275
27;59;576
28;68;630
29;46;447
30;29;316
31;47;456
32;60;609
33;27;304
34;33;275
35;39;466
36;42;361
37;29;320
38;21;168
39;50;511
40;50;568
41;41;390
42;76;782
43;35;343
44;41;437
45;62;600
46;33;315
47;52;609
48;29;283
49;58;687
50;78;745
51;30;296
52;41;432
53;35;282
54;35;324
55;39;381
56;73;674
57;68;562
58;66;614
59;45;486
60;56;602
61;49;426
62;42;491
63;39;426
64;22;179
65;40;418
66;66;611
67;75;870
68;75;759
69;44;523
70;37;425
71;76;821
72;54;531
73;51;468
74;29;287
75;53;512
76;60;484
77;45;487
78;38;435
79;71;833
80;25;218
81;41;410
82;49;418
83;34;401
84;59;585
85;23;246
86;53;616
87;48;449
88;69;607
89;51;453
90;43;437
91;36;431
92;54;619
93;63;580
94;58;675
95;37;300
96;30;320
97;36;301
98;20;219
99;55;548
100;23;189
101;51;436
102;49;514
103;43;458
104;42;352
105;22;193
106;52;603
107;39;438
108;71;709
109;77;915
110;60;511
111;44;395
112;45;416
113;56;493
114;63;611
115;29;249
116;24;226
117;58;605
118;46;487
119;70;709
120;26;304
121;26;223
122;37;411
123;63;539
124;69;630
125;25;234
126;45;409
127;56;607
128;70;737
129;42;456
130;41;390
131;61;713
132;68;696
133;66;779
134;51;571
135;33;344
136;27;246
137;63;583
138;77;634
139;78;755
140;48;490
141;48;426
142;33;392
143;69;682
144;80;870
145;34;322
146;21;216
147;43;478
148;49;483
149;58;485
150;66;720
151;26;216
152;35;338
153;50;486
154;44;378
155;54;483
156;32;329
157;71;815
158;63;563
159;51;552
160;43;360
161;54;604
162;74;668
163;79;846
164;49;522
165;61;707
166;28;230
167;36;315
168;50;451
169;80;714
170;76;859
171;39;423
172;57;580
173;20;229
174;57;678
175;75;860
176;31;364
177;65;730
178;79;745
179;56;454
180;53;547
181;54;473
182;54;547
183;56;483
184;35;408
185;44;440
186;74;637
187;77;771
188;59;694
189;50;461
190;52;443
191;43;366
192;34;407
193;69;605
194;45;381
195;38;350
196;63;509
197;25;253
198;39;375
199;74;678
200;27;240
201;78;626
202;35;362
203;45;526
204;62;622
205;30;342
206;29;288
207;25;259
208;72;830
209;72;623
210;75;850
211;35;411
212;53;507
213;43;478
214;69;703
215;73;786
216;29;315
217;39;431
218;44;439
219;45;481
220;76;872
221;62;655
222;58;576
223;21;248
224;37;371
225;30;279
226;60;481
227;33;378
228;23;214
229;34;317
230;52;562
231;54;641
232;20;216
233;70;583
234;59;544
235;68;685
236;34;377
237;70;700
238;56;571
239;34;330
240;21;173
241;28;238
242;26;270
243;76;635
244;47;417
245;41;432
246;33;370
247;43;429
248;40;374
249;77;870
250;70;578
251;73;623
252;23;224
253;30;310
254;30;332
255;69;570
256;25;220
257;44;492
258;65;578
259;43;364
260;38;375
261;23;262
262;36;312
263;37;409
264;68;695
265;78;930
266;41;456
267;69;667
268;31;301
269;57;602
270;25;246
271;22;229
272;56;616
273;27;216
274;72;670
275;61;702
276;34;371
277;52;570
278;68;765
279;25;252
280;61;625
281;21;214
282;63;526
283;64;631
284;27;217
285;37;382
286;25;254
287;74;686
288;79;947
289;43;441
290;35;405
291;68;649
292;25;267
293;50;500
294;68;682
295;34;402
296;71;715
297;65;743
298;23;242
299;72;736
300;65;645
301;62;620
302;31;252
303;63;505
304;56;609
305;42;402
306;61;597
307;37;342
308;63;514
309;57;490
310;44;512
311;30;284
312;77;698
313;59;599
314;64;654
315;40;436
316;76;823
317;30;253
318;61;530
319;65;698
320;70;675
321;72;801
322;56;549
323;41;374
324;28;248
325;36;380
326;73;711
327;71;744
328;37;428
329;53;566
330;37;425
331;49;432
332;47;383
333;51;521
334;75;872
335;60;568
336;70;805
337;54;487
338;71;820
339;23;237
340;51;576
341;68;716
342;58;515
343;70;775
344;78;750
345;32;364
346;51;434
347;75;740
348;31;332
349;62;644
350;33;347
351;76;827
352;24;269
353;78;834
354;56;584
355;77;795
356;24;274
357;57;499
358;42;436
359;22;176
360;30;246
361;32;294
362;68;581
363;22;189
364;58;551
365;35;288
366;41;333
367;80;850
368;80;883
369;78;883
370;33;273
371;58;627
372;27;321
373;55;495
374;75;864
375;23;242
376;35;366
377;52;583
378;67;594
379;79;782
380;57;480
381;38;307
382;74;659
383;77;664
384;60;620
385;24;277
386;36;327
387;67;758
388;40;429
389;40;320
390;26;257
391;46;456
392;55;529
393;23;221
394;56;458
395;51;420
396;31;316
397;34;374
398;34;315
399;42;445
400;37;410
401;52;468
402;70;707
403;41;431
404;61;635
405;35;417
406;69;678
407;57;462
408;57;655
409;43;365
410;79;763
411;20;226
412;58;466
413;24;275
414;45;458
415;45;487
416;21;229
417;32;382
418;70;612
419;23;249
420;59;591
421;40;364
422;47;429
423;53;617
424;26;292
425;21;222
426;77;867
427;75;615
428;78;723
429;63;510
430;43;479
431;59;511
432;79;923
433;59;638
434;55;627
435;28;331
436;70;592
437;42;345
438;52;563
439;34;277
440;31;362
441;31;332
442;61;587
443;54;579
444;67;760
445;70;787
446;25;229
447;50;579
448;40;352
449;46;406
450;62;687
451;34;404
452;36;303
453;56;509
454;73;787
455;32;290
456;80;832
457;52;547
458;61;551
459;57;630
460;22;189
461;36;361
462;56;515
463;46;419
464;43;497
465;28;282
466;29;269
467;58;680
468;50;515
469;30;298
470;37;339
471;33;374
472;31;281
473;69;699
474;57;539
475;71;652
476;77;840
477;30;296
478;75;812
479;72;758
480;67;667
481;49;512
482;33;366
483;32;344
484;38;370
485;49;394
486;30;303
487;79;817
488;45;367
489;51;426
490;20;168
491;46;419
492;76;889
493;61;700
494;49;486
495;77;677
496;42;341
497;69;677
498;61;540
499;74;702
CONFLITOS
ITEM;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;294;295;296;297;298;299;300;301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;320;321;322;323;324;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359;360;361;362;363;364;365;366;367;368;369;370;371;372;373;374;375;376;377;378;379;380;381;382;383;384;385;386;387;388;389;390;391;392;393;394;395;396;397;398;399;400;401;402;403;404;405;406;407;408;409;410;411;412;413;414;415;416;417;418;419;420;421;422;423;424;425;426;427;428;429;430;431;432;433;434;435;436;437;438;439;440;441;442;443;444;445;446;447;448;449;450;451;452;453;454;455;456;457;458;459;460;461;462;463;464;465;466;467;468;469;470;471;472;473;474;475;476;477;478;479;480;481;482;483;484;485;486;487;488;489;490;491;492;493;494;495;496;497;498;499
