QTD_ITENS;500
QTD_MOCHILAS;10
CAPACIDADES;1669;1630;1716;1586;1551;1470;1627;1234;1537;1790
ITEM;PESO;VALOR
0;46;512
1;47;416
2;26;277
3;44;420
4;69;764
5;37;302
6;48;389
7;57;602
8;52;568
9;72;688
10;32;316
11;80;682
12;58;665
13;52;436
14;80;754
15;47;519
16;58;591
17;35;306
18;59;492
19;62;571
20;77;674
21;33;358
22;44;353
23;78;729
24;67;590
25;35;336
26;59;509
27;44;360
28;43;405
29;40;394
30;35;307
31;77;833
32;22;180
33;46;418
34;42;426
35;60;591
36;69;669
37;46;392
38;65;622
39;40;384
40;59;553
41;78;625
42;49;580
43;71;645
44;39;438
45;47;416
46;37;408
47;50;424
48;65;653
49;22;221
50;56;608
51;25;287
52;29;280
53;22;218
54;43;364
55;49;496
56;33;325
57;67;757
58;42;375
59;80;648
60;59;524
61;35;307
62;49;446
63;57;556
64;27;256
65;40;475
66;55;464
67;57;580
68;80;645
69;67;778
70;61;703
71;64;616
72;46;370
73;60;554
74;63;656
75;36;301
76;56;455
77;80;803
78;64;615
79;26;246
80;74;834
81;34;372
82;60;534
83;50;475
84;20;219
85;20;168
86;35;297
87;51;516
88;24;230
89;52;608
90;35;321
91;63;559
92;63;635
93;73;785
94;45;451
95;67;580
96;53;449
97;46;416
98;30;252
99;80;763
100;22;193
101;39;324
102;59;621
103;38;350
104;35;294
105;77;659
106;66;549
107;49;499
108;30;251
109;39;358
110;31;288
111;40;456
112;24;287
113;35;323
114;37;319
115;43;460
116;53;575
117;77;617
118;69;813
119;59;598
120;54;480
121;66;566
122;76;804
123;73;796
124;26;225
125;47;530
126;51;536
127;76;796
128;54;454
129;53;489
130;64;634
131;29;268
132;31;256
133;52;473
134;49;400
135;50;412
136;21;233
137;45;441
138;30;277
139;49;505
140;62;575
141;44;432
142;70;779
143;56;605
144;69;680
145;35;287
146;37;339
147;74;725
148;80;913
149;53;571
150;41;451
151;41;379
152;64;538
153;63;680
154;27;281
155;75;627
156;33;297
157;80;894
158;80;704
159;60;572
160;58;621
161;71;635
162;76;637
163;46;413
164;29;275
165;21;188
166;25;246
167;63;739
168;22;249
169;54;585
170;39;406
171;77;757
172;67;771
173;42;430
174;30;304
175;36;345
176;78;767
177;33;285
178;28;256
179;28;244
180;67;748
181;25;269
182;29;339
183;65;605
184;36;386
185;25;280
186;68;705
187;24;237
188;57;474
189;25;276
190;53;526
191;34;316
192;20;195
193;27;284
194;56;538
195;30;301
196;66;732
197;27;251
198;73;601
199;37;399
200;32;298
201;28;242
202;41;343
203;61;667
204;54;462
205;38;381
206;51;533
207;60;511
208;49;504
209;73;755
210;54;538
211;38;400
212;73;610
213;29;279
214;69;624
215;36;365
216;29;242
217;55;560
218;26;218
219;77;873
220;37;314
221;55;508
222;45;445
223;25;299
224;73;768
225;79;775
226;72;755
227;66;769
228;26;266
229;24;280
230;67;753
231;40;322
232;40;337
233;71;782
234;50;401
235;52;580
236;77;883
237;76;697
238;70;622
239;51;423
240;29;296
241;61;619
242;69;643
243;50;463
244;60;607
245;38;356
246;47;465
247;77;716
248;56;569
249;26;311
250;25;225
251;79;728
252;70;800
253;30;352
254;61;666
255;68;702
256;26;224
257;64;729
258;26;239
259;25;223
260;41;329
261;39;421
262;30;331
263;73;794
264;72;603
265;76;777
266;37;416
267;22;230
268;32;324
269;25;208
270;74;629
271;42;492
272;48;517
273;80;851
274;30;308
275;22;230
276;60;501
277;62;678
278;62;564
279;72;648
280;48;566
281;24;278
282;36;301
283;61;691
284;52;598
285;27;222
286;27;225
287;28;247
288;34;393
289;37;442
290;65;623
291;33;325
292;47;521
293;45;420
294;59;669
295;61;533
296;41;468
297;71;585
298;60;705
299;53;628
300;80;801
301;50;443
302;56;474
303;78;667
304;32;291
305;25;254
306;22;254
307;36;377
308;79;938
309;23;264
310;77;737
311;30;266
312;56;588
313;23;251
314;41;375
315;23;245
316;40;407
317;32;379
318;55;489
319;31;257
320;49;504
321;26;261
322;43;345
323;67;631
324;69;789
325;34;381
326;75;678
327;60;524
328;74;667
329;24;273
330;40;335
331;66;745
332;32;285
333;65;747
334;48;504
335;48;408
336;30;273
337;41;445
338;20;182
339;39;341
340;58;483
341;61;494
342;52;463
343;47;378
344;38;452
345;72;718
346;27;281
347;64;658
348;55;567
349;68;606
350;39;386
351;62;558
352;69;629
353;69;585
354;42;357
355;64;628
356;20;203
357;71;745
358;36;368
359;69;584
360;36;368
361;71;587
362;76;864
363;47;469
364;36;371
365;54;529
366;61;728
367;42;500
368;42;503
369;28;315
370;79;762
371;67;710
372;33;334
373;80;788
374;22;208
375;38;310
376;51;607
377;60;567
378;36;376
379;47;490
380;45;494
381;29;340
382;23;248
383;77;870
384;28;292
385;80;701
386;29;307
387;50;408
388;49;392
389;51;531
390;55;460
391;41;365
392;63;592
393;68;767
394;24;240
395;76;905
396;48;439
397;38;315
398;41;433
399;67;788
400;21;234
401;32;359
402;26;234
403;58;465
404;33;387
405;29;242
406;37;321
407;45;384
408;58;479
409;30;338
410;41;423
411;68;757
412;51;512
413;33;346
414;56;467
415;57;625
416;63;676
417;77;901
418;29;309
419;80;743
420;72;778
421;43;356
422;54;629
423;51;547
424;62;721
425;79;795
426;69;696
427;41;364
428;62;651
429;22;234
430;59;635
431;55;584
432;62;739
433;64;682
434;78;863
435;59;498
436;79;703
437;71;681
438;69;761
439;35;280
440;35;338
441;31;347
442;79;781
443;79;685
444;50;461
445;65;611
446;20;237
447;78;787
448;59;703
449;61;576
450;26;291
451;35;416
452;54;629
453;40;452
454;42;414
455;53;431
