ITEM;['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99']
PESO;['30', '34', '29', '67', '56', '29', '28', '69', '35', '72', '79', '75', '64', '25', '27', '41', '45', '32', '53', '38', '78', '59', '22', '41', '25', '20', '62', '37', '28', '38', '43', '33', '45', '61', '71', '80', '36', '38', '50', '37', '67', '60', '31', '76', '55', '24', '24', '53', '23', '40', '22', '26', '50', '47', '58', '78', '73', '77', '24', '55', '22', '65', '34', '68', '57', '24', '61', '76', '69', '47', '56', '47', '54', '23', '76', '70', '67', '23', '50', '50', '72', '49', '59', '23', '59', '75', '52', '35', '44', '59', '73', '58', '35', '24', '46', '79', '60', '24', '71', '36']
VALOR;['265', '341', '278', '755', '632', '254', '273', '702', '419', '837', '914', '760', '525', '252', '242', '345', '445', '306', '454', '334', '779', '623', '210', '478', '286', '231', '513', '373', '321', '405', '427', '362', '453', '657', '714', '692', '328', '427', '538', '364', '774', '563', '288', '668', '546', '228', '274', '489', '268', '425', '250', '214', '416', '380', '476', '851', '591', '902', '193', '657', '220', '540', '363', '647', '585', '233', '677', '642', '648', '550', '657', '501', '609', '267', '838', '802', '750', '257', '407', '561', '771', '439', '606', '229', '640', '638', '562', '380', '428', '688', '665', '599', '306', '260', '421', '688', '517', '215', '681', '329']
CAPACIDADES;['625', '501', '516', '574', '606']
QTD_ITENS;100
QTD_MOCHILAS;5
0;['1', '0', '1', '0', '0', '0', '1', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '1', '1', '1', '0', '1', '1', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '1', '1', '1', '0', '0', '1', '1', '1', '0', '1', '1', '0', '1', '1', '0']
1;['0', '1', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '1', '0', '1', '0', '0', '1', '0', '0', '0', '0', '1', '0', '1', '0', '1', '0', '1', '1', '0', '1', '0', '1', '1', '1', '0', '1', '1', '1', '0', '0', '0', '0', '0', '0', '1', '1', '0', '1', '1', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '1', '1', '1', '0', '1', '1', '1', '1', '1', '0', '1', '1', '0', '1', '0', '1', '0', '0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '1', '0', '1', '0']
2;['1', '1', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '1', '1', '0', '1', '1', '0', '1', '0', '0', '0', '0', '0', '1', '1', '0', '1', '1', '1', '1', '0', '0', '1', '1', '0', '1', '0', '0', '1', '1', '0', '1', '1', '0', '1', '1', '1', '0', '1', '1', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '1', '0', '0', '0', '1', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '1', '1', '1', '0', '0', '1', '1']
3;['0', '0', '0', '1', '0', '1', '0', '0', '1', '1', '0', '0', '1', '0', '1', '1', '1', '1', '1', '0', '1', '0', '1', '0', '0', '1', '0', '0', '0', '0', '1', '1', '0', '0', '1', '0', '0', '0', '1', '0', '1', '1', '0', '0', '1', '0', '1', '1', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '1', '0', '0']
